post_id,text,timestamp,hashtags,likes,shares,comments,sentiment,topic
1,People are discussing climate change,2026-04-04 21:00:00,#Environment #ClimateChange,2011,457,142,Positive,Environment
2,People are discussing climate change,2026-07-06 03:00:00,#Environment #ClimateChange,717,1209,432,Negative,Environment
3,AI is transforming the way we learn and work,2026-03-21 09:00:00,#AI #ArtificialIntelligence,4144,1232,27,Positive,Artificial Intelligence
4,This new movie is trending everywhere,2026-08-28 09:00:00,#Entertainment #Movies,4469,859,225,Negative,Entertainment
5,That was an incredible performance,2026-01-03 05:00:00,#Sports #Trending,1312,1429,432,Positive,Sports
6,The latest tech trends are everywhere,2026-04-25 21:00:00,#Technology #Tech,842,189,389,Positive,Technology
7,The future of AI looks exciting,2026-07-26 01:00:00,#AI #ArtificialIntelligence,2171,88,747,Neutral,Artificial Intelligence
8,That was an incredible performance,2026-05-10 04:00:00,#Sports #Trending,650,1130,300,Positive,Sports
9,Protecting the environment is everyone's responsibility,2026-05-04 10:00:00,#Environment #ClimateChange,4734,393,721,Neutral,Environment
10,AI is transforming the way we learn and work,2026-04-09 18:00:00,#AI #ArtificialIntelligence,658,476,103,Negative,Artificial Intelligence
11,Fans are loving this season,2026-05-05 12:00:00,#Sports #Trending,1337,758,363,Positive,Sports
12,Digital classrooms are becoming popular,2026-08-22 07:00:00,#Education #EdTech,589,1247,650,Positive,Education
13,Digital classrooms are becoming popular,2026-02-25 18:00:00,#Education #EdTech,3791,777,276,Negative,Education
14,Protecting the environment is everyone's responsibility,2026-08-22 16:00:00,#Environment #ClimateChange,2661,114,234,Negative,Environment
15,The future of AI looks exciting,2026-01-23 14:00:00,#AI #ArtificialIntelligence,1733,1161,735,Positive,Artificial Intelligence
16,New technology is changing our daily lives,2026-05-16 01:00:00,#Technology #Tech,3763,292,271,Negative,Technology
17,Online learning is making education more accessible,2026-07-03 23:00:00,#Education #EdTech,2157,1197,438,Negative,Education
18,The latest series has everyone talking,2026-02-17 05:00:00,#Entertainment #Movies,4179,1010,93,Positive,Entertainment
19,AI is transforming the way we learn and work,2026-02-24 14:00:00,#AI #ArtificialIntelligence,3463,1221,65,Positive,Artificial Intelligence
20,Fans are loving this season,2026-06-09 18:00:00,#Sports #Trending,4339,514,566,Negative,Sports
21,Everyone is talking about generative AI,2026-08-21 16:00:00,#AI #ArtificialIntelligence,4403,546,787,Negative,Artificial Intelligence
22,Sustainable living is becoming a major trend,2026-05-29 09:00:00,#Environment #ClimateChange,1300,929,3,Positive,Environment
23,Protecting the environment is everyone's responsibility,2026-06-20 20:00:00,#Environment #ClimateChange,1468,1039,108,Positive,Environment
24,Sustainable living is becoming a major trend,2026-06-23 06:00:00,#Environment #ClimateChange,4993,407,156,Neutral,Environment
25,New technology is changing our daily lives,2026-07-01 00:00:00,#Technology #Tech,9,1226,331,Positive,Technology
26,What an exciting match today,2026-05-04 21:00:00,#Sports #Trending,2524,490,59,Positive,Sports
27,Digital classrooms are becoming popular,2026-01-30 05:00:00,#Education #EdTech,3986,141,778,Neutral,Education
28,This new movie is trending everywhere,2026-06-12 05:00:00,#Entertainment #Movies,4508,338,271,Positive,Entertainment
29,What a fantastic entertainment release,2026-03-14 07:00:00,#Entertainment #Movies,4422,1494,706,Positive,Entertainment
30,Digital classrooms are becoming popular,2026-08-18 06:00:00,#Education #EdTech,3064,897,529,Positive,Education
31,What an exciting match today,2026-01-22 20:00:00,#Sports #Trending,2774,43,602,Positive,Sports
32,This new movie is trending everywhere,2026-01-03 10:00:00,#Entertainment #Movies,586,1449,646,Negative,Entertainment
33,AI is transforming the way we learn and work,2026-01-11 17:00:00,#AI #ArtificialIntelligence,2711,145,526,Positive,Artificial Intelligence
34,Students are using technology for better learning,2026-03-15 03:00:00,#Education #EdTech,4422,270,740,Negative,Education
35,What a fantastic entertainment release,2026-06-11 10:00:00,#Entertainment #Movies,3339,389,96,Positive,Entertainment
36,Everyone is talking about generative AI,2026-05-25 13:00:00,#AI #ArtificialIntelligence,3372,956,746,Positive,Artificial Intelligence
37,Everyone is talking about generative AI,2026-08-09 13:00:00,#AI #ArtificialIntelligence,811,124,412,Negative,Artificial Intelligence
38,Sustainable living is becoming a major trend,2026-02-07 07:00:00,#Environment #ClimateChange,2041,392,194,Neutral,Environment
39,The latest series has everyone talking,2026-03-04 15:00:00,#Entertainment #Movies,2286,947,255,Positive,Entertainment
40,The future of AI looks exciting,2026-07-07 20:00:00,#AI #ArtificialIntelligence,807,103,667,Neutral,Artificial Intelligence
41,This new movie is trending everywhere,2026-03-22 16:00:00,#Entertainment #Movies,1367,832,497,Neutral,Entertainment
42,What an exciting match today,2026-01-21 00:00:00,#Sports #Trending,1353,776,2,Neutral,Sports
43,Fans are loving this season,2026-06-05 07:00:00,#Sports #Trending,2341,866,713,Neutral,Sports
44,Protecting the environment is everyone's responsibility,2026-06-16 02:00:00,#Environment #ClimateChange,1273,388,303,Negative,Environment
45,Online learning is making education more accessible,2026-07-05 01:00:00,#Education #EdTech,504,642,58,Negative,Education
46,Everyone is talking about generative AI,2026-07-01 06:00:00,#AI #ArtificialIntelligence,1294,116,520,Positive,Artificial Intelligence
47,AI is transforming the way we learn and work,2026-01-24 04:00:00,#AI #ArtificialIntelligence,1931,826,122,Positive,Artificial Intelligence
48,This new movie is trending everywhere,2026-01-14 13:00:00,#Entertainment #Movies,676,858,673,Negative,Entertainment
49,What a fantastic entertainment release,2026-03-31 00:00:00,#Entertainment #Movies,1678,1371,733,Positive,Entertainment
50,New technology is changing our daily lives,2026-02-14 16:00:00,#Technology #Tech,2462,936,323,Positive,Technology
51,AI is transforming the way we learn and work,2026-07-12 04:00:00,#AI #ArtificialIntelligence,824,150,550,Positive,Artificial Intelligence
52,Digital classrooms are becoming popular,2026-04-30 03:00:00,#Education #EdTech,568,500,378,Positive,Education
53,New technology is changing our daily lives,2026-07-05 10:00:00,#Technology #Tech,2483,1252,669,Positive,Technology
54,This new movie is trending everywhere,2026-07-09 07:00:00,#Entertainment #Movies,2457,1358,106,Negative,Entertainment
